Sequence_ID	JMF-2002-2-0001A	JMF-2002-2-0002A	JMF-2002-2-0003A	JMF-2002-2-0004A	JMF-2002-2-0005A	JMF-2002-2-0006A	JMF-2002-2-0007A	JMF-2002-2-0008A	JMF-2002-2-0009A	JMF-2002-2-0010A	JMF-2002-2-0011A	JMF-2002-2-0012A	JMF-2002-2-0013A	JMF-2002-2-0014A	JMF-2002-2-0015A	JMF-2002-2-0016A	JMF-2002-2-0017A	JMF-2002-2-0018A	JMF-2002-2-0018B	JMF-2002-2-0019A	JMF-2002-2-0020A	JMF-2002-2-0021A	JMF-2002-2-0021B	JMF-2002-2-0022A	JMF-2002-2-0022B	JMF-2002-2-0023A	JMF-2002-2-0024A	JMF-2002-2-0025A	JMF-2002-2-0026A	JMF-2002-2-0027A	JMF-2002-2-0028A	JMF-2002-2-0029A	JMF-2002-2-0030A	JMF-2002-2-0031A
ASV_hje_o7v	0	8	2	7	0	1	1	0	9	0	1	9	7	0	0	0	2	2	0	0	2	2	0	0	0	0	0	0	3	35	38	6	7	0
ASV_hks_2sf	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0
ASV_hkt_4zn	2	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	2	3	0	0	0	1	0	0
ASV_hmq_kqs	0	8	0	5	8	1	11	9	2	18	6	8	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	13	3	5	13	2	11	0
ASV_hmz_ed0	0	0	5	0	0	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_hnr_656	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	1	3	2	0	0	0	3	0	0	0	0	1	1	0	5	4	2	0	0
ASV_hog_st4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ASV_hou_5ps	0	1	0	0	5	3	7	2	0	5	2	5	1	0	0	0	2	0	0	1	6	1	0	0	0	0	1	5	2	15	3	1	7	0
ASV_hp1_4lg	0	0	58	4	0	1	3	0	100	1	20	3	345	0	2	0	0	0	0	0	0	0	0	0	0	3	9	0	0	0	4	0	0	0
ASV_hp6_lwn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
